li_group,constant,age,age2,age3
1,3.41000000,-0.09720122,0.00247639,-0.00001842
2,0.69689692,0.05995294,-0.00004086,-0.00000521
3,-0.78761958,0.17654618,-0.00240656,0.00001039
4,-1.11000000,0.21168263,-0.00306555,0.00001438
5,-0.93939272,0.21638731,-0.00321041,0.00001579
6,1.60000000,0.04500235,0.00094253,-0.00001470
7,1.89000000,0.09229392,0.00012902,-0.00001169
