year,mean_wealth,sd_wealth,sd_ln_wealth,median_wealth,p10_wealth,p90_wealth,p95_wealth,p96_wealth,p98_wealth,p99_wealth,tot_wealth,p99_tot_wealth,p90_tot_wealth,num_obs
2007.00000,625174.99416,3756832.41174,2.12888,135858.26257,33.68387,1022080.79686,2133502.43632,2678653.36381,5208087.19791,9402896.31613,13806989746.10250,4638858926.80251,9859950219.11201,22085.00000
2010.00000,530399.24336,3365400.92979,2.18640,82520.57357,-1071.69576,1020468.70324,1997426.55860,2354729.92519,4581499.37656,7304892.64339,17190239477.18270,5860607629.92965,12791455893.14864,32410.00000
2013.00000,528421.81579,3598459.37027,2.22372,81400.00000,-2050.00000,942200.00000,1871600.00000,2332600.00000,4380000.00000,7880400.00000,15892286109.98932,5639940848.27414,11917043853.56137,30075.00000
